first_conformer_id,second_conformer_id,common_scaffold_rmsd_angstrom,reaction_center_rmsd_angstrom
conf001,conf002,1.2876576299754092,0.0034251334304795512
conf001,conf007,1.5298525627354187,0.8078542057821276
conf001,conf005,1.3734125477080639,0.004119104561019948
conf001,conf004,0.7655676628477697,0.005192292618279468
conf001,conf006,1.5221472611139946,0.8081161028797726
conf001,conf003,2.1790534416677096,1.1401860595372784
conf001,conf011,2.167801682689811,1.140324303017941
conf001,conf010,1.8338517088441304,1.1403056150237751
conf001,conf009,1.9690195218497686,1.1351103796768096
conf001,conf008,1.55433649911488,1.1358933759270755
conf001,conf011_pool109,1.0499103108686716,0.8064317316318537
conf004,conf002,1.5333573731717518,0.8061383353415664
conf004,conf007,1.2892811025795197,0.005762993835964615
conf004,conf005,1.474744558435387,0.8053623390428977
conf004,conf004,0.7421605886438535,0.8098588706158617
conf004,conf006,1.2886915409304942,0.00440128453441991
conf004,conf003,2.1748732188698328,1.1331577663126737
conf004,conf011,1.9798372443752548,1.132443962377992
conf004,conf010,1.5204492698843244,1.1359672501238978
conf004,conf009,2.1622726267369674,1.1409761449417062
conf004,conf008,1.767400111184336,1.1407019800478424
conf004,conf011_pool109,0.8297968007029789,0.009142063595448247
conf003,conf002,0.7594571107734416,0.008978943946069773
conf003,conf007,0.7484139844827858,0.8076458157568145
conf003,conf005,0.042196333330633544,0.009592926000890812
conf003,conf004,1.2876884402217206,0.010862483399351782
conf003,conf006,0.7543668250072955,0.8079163445662817
conf003,conf003,2.026310936872345,1.140917719796245
conf003,conf011,1.7882355893751418,1.1410536012721095
conf003,conf010,2.1932797258163936,1.141058298118068
conf003,conf009,1.4873445873980016,1.130632089918551
conf003,conf008,1.9169609123895668,1.1314106324149253
conf003,conf011_pool109,1.5388607727796741,0.8062048679822595
conf008,conf002,0.4964711239974693,0.0027871030480151483
conf008,conf007,1.1479695973100568,0.8075761613142332
conf008,conf005,0.9107867130971662,0.003558287272366662
conf008,conf004,1.4700022997185362,0.0045704767431185575
conf008,conf006,1.1404386209839272,0.8078355013333598
conf008,conf003,1.8083634203826449,1.1399639128067345
conf008,conf011,1.8690516422260446,1.140101008681389
conf008,conf010,2.1720071480463448,1.1400795260748549
conf008,conf009,1.654234619038672,1.1362953017985447
conf008,conf008,1.9528573840635204,1.1370786798951593
conf008,conf011_pool109,1.3566100033215027,0.806159077942903
conf002,conf002,1.4958483238984432,1.1327641521109735
conf002,conf007,2.0305090611310384,1.1397592080921888
conf002,conf005,1.7652150268837457,1.1327545588202086
conf002,conf004,2.0005484881431093,1.1347003457114428
conf002,conf006,2.0285902761409367,1.139910130121982
conf002,conf003,0.9115636583875081,0.8695437539007904
conf002,conf011,1.230752515736017,0.8690847394556167
conf002,conf010,1.722271711470435,0.8731000718522225
conf002,conf009,0.7728222978394298,0.006345824144358446
conf002,conf008,1.3962815191702727,0.006433018739768531
conf002,conf011_pool109,1.9915132846240435,1.1391251534551987
conf007,conf002,1.8403794131556572,1.1395238722725276
conf007,conf007,1.5237261662322354,1.1331284393958285
conf007,conf005,1.7762554878303771,1.1396667114109016
conf007,conf004,2.1902045346521253,1.1400353889882124
conf007,conf006,1.515936824157279,1.1319568454930424
conf007,conf003,0.7816992508025524,0.006955916178302296
conf007,conf011,0.015097777591019422,0.005356410529549088
conf007,conf010,1.2876390691811064,0.01059233785325491
conf007,conf009,0.9159020071616444,0.8683361165331925
conf007,conf008,1.569751462647991,0.8712242680990677
conf007,conf011_pool109,1.9318409765109754,1.1350977882305648
conf006,conf002,2.173919005465913,1.1394209734276357
conf006,conf007,1.9777233415150508,1.1319684146095812
conf006,conf005,2.186221696774087,1.1395619547395268
conf006,conf004,1.7774676535326694,1.1399395286111398
conf006,conf006,1.973153495071655,1.1307957293202575
conf006,conf003,1.4132708151410547,0.008558306269395436
conf006,conf011,1.2887036811342951,0.006874764440248276
conf006,conf010,0.036022572638609585,0.01223397389570547
conf006,conf009,1.569106578988004,0.8681024598602192
conf006,conf008,0.9275350955800526,0.8709897172504137
conf006,conf011_pool109,1.6046354394367208,1.1339403270287043
conf005,conf002,1.968597808534383,1.1336739362362491
conf005,conf007,2.162656316811233,1.139943301279606
conf005,conf005,1.9227313746062762,1.1336632778589943
conf005,conf004,1.4935398152305515,1.1356115950032926
conf005,conf006,2.1605127879182846,1.1400947168806006
conf005,conf003,1.5891198463502052,0.8702681488941586
conf005,conf011,1.5684887066388122,0.8698071965229399
conf005,conf010,0.9162039411682261,0.873824179969248
conf005,conf009,1.2883966146523076,0.005746721296540677
conf005,conf008,0.011710328800111159,0.005260834931621166
conf005,conf011_pool109,1.8538361547312818,1.1393087284307717
conf009,conf002,1.8517805577264324,1.1392763696748587
conf009,conf007,1.9510815998689837,1.13355658200387
conf009,conf005,2.0947854684244045,1.1394189725896144
conf009,conf004,2.40367893714131,1.1397824946449313
conf009,conf006,1.9403582675147417,1.1323856747832373
conf009,conf003,0.5054451336069232,0.005849049692025574
conf009,conf011,0.9460730936455214,0.004826422958327563
conf009,conf010,1.4808607562632816,0.009117397530727626
conf009,conf009,1.2267154835837701,0.8693850614545021
conf009,conf008,1.687781193666627,0.8722731826423112
conf009,conf011_pool109,1.9727542355805785,1.135523047636939
