conformer_id,conformer_index,dft_energy_hartree,relative_energy_kj_mol,gibbs_energy_hartree,relative_gibbs_energy_kj_mol,frequency_calculated,electronic_boltzmann_weight,conditional_gibbs_boltzmann_weight,common_scaffold_unique_electronic_weight,common_scaffold_unique_conditional_gibbs_weight,structure.carbonyl_c_o_length_angstrom,structure.amide_c_n_length_angstrom,structure.benzoyl_carbonyl_torsion_abs_mean_deg,structure.amide_n_planarity_torsion_abs_mean_deg,structure.aryl_c_si_length_angstrom,steric_access.overall_accessible_fraction,steric_access.best_clearance_angstrom,steric_access.mean_clearance_angstrom,steric_access.clearance_percentiles_angstrom.p90,steric_access.minimum_terminal_tms_distance_from_carbonyl_c_angstrom,steric_access.silicon_distance_from_carbonyl_c_angstrom,steric_access.terminal_tms_heavy_atoms_within_5_angstrom,steric_access.face_summary.face_positive.accessible_fraction,steric_access.face_summary.face_negative.accessible_fraction,electronic.mulliken_charge_carbonyl_c,electronic.loewdin_charge_carbonyl_c,electronic.loewdin_charge_carbonyl_o,electronic.mbis_charge_carbonyl_c,electronic.mbis_charge_carbonyl_o,electronic.chelpg_charge_carbonyl_c,electronic.chelpg_charge_carbonyl_o,electronic.mayer_bond_order_c_o,electronic.mayer_bond_order_c_n,electronic.dipole_magnitude_debye,electronic.homo_energy_ev,electronic.lumo_energy_ev,electronic.homo_lumo_gap_ev,electronic.homo_loewdin_population_benzoyl_center,electronic.lumo_loewdin_population_benzoyl_center,carbonyl_stretch.frequency_cm1
conf001,0,-1359.238243112178,0.0,-1358.78273757,0.0,True,0.3676052634577931,0.41406216953936675,0.3676052634577931,0.41406216953936675,1.215587736508215,1.4020641692686606,40.55813408220206,14.085799688314772,,0.1527777777777778,0.28246974924340473,-0.7003226680367758,0.08789213043869605,,,0.0,0.1388888888888889,0.16666666666666666,0.199666,0.098881,-0.166692,0.651136,-0.511375,0.520705,-0.479185,2.0873,1.0394,4.563243231,-5.5804,-1.4857,4.0947,0.091306,0.462965,1777.7341224991096
conf004,3,-1359.237919267897,0.8502530428979248,-1358.78230645,1.1319054046519212,True,0.2608698164472955,0.2622794751489354,0.2608698164472955,0.2622794751489354,1.2157473916821722,1.40135718011957,40.16731883321338,14.644840659691441,,0.1527777777777778,0.2823210881307705,-0.6994563301801521,0.087512875941724,,,0.0,0.16666666666666666,0.1388888888888889,0.199023,0.098206,-0.167396,0.650286,-0.511872,0.556528,-0.487534,2.0871,1.0415,6.029674719,-5.492,-1.4274,4.0646,0.094882,0.463757,1777.08742280479
conf003,2,-1359.237866764605,0.9881004169948056,-1358.78237427,0.9538440193310707,True,0.24675957723399672,0.28181188895566844,0.24675957723399672,0.28181188895566844,1.2156664988714008,1.401543392380107,40.11630978172664,14.61082819157146,,0.1527777777777778,0.2846753538498972,-0.7000171408885165,0.08756105004573338,,,0.0,0.1388888888888889,0.16666666666666666,0.199338,0.09825,-0.167133,0.650324,-0.511576,0.524622,-0.482118,2.0874,1.0412,6.348032605,-5.4953,-1.4316,4.063700000000001,0.094941,0.463233,1777.3487151348393
conf008,7,-1359.236420656359,4.7848570955174425,-1358.78057349,5.681791259955154,True,0.05334712577974775,0.041846466356029434,0.05334712577974775,0.041846466356029434,1.2155853701506092,1.4021517108721329,40.65062349338317,13.917133142648673,,0.1527777777777778,0.2825817903562695,-0.7005680390221491,0.08796748936626794,,,0.0,0.1388888888888889,0.16666666666666666,0.200019,0.098999,-0.166737,0.651191,-0.511411,0.527374,-0.481013,2.0869,1.0392,4.219283754,-5.5883,-1.4934,4.0949,0.089992,0.462827,1777.8305793938298
conf002,1,-1359.235448035419,7.338473022961301,,,False,0.01904306591608168,,0.01904306591608168,,1.214523330333754,1.4096705640431753,37.50948563819293,22.228797711942192,,0.1527777777777778,0.32596907912536577,-0.7007306878963742,0.09267552932654394,,,0.0,0.19444444444444445,0.1111111111111111,0.188734,0.100132,-0.164234,,,,,2.1066,1.0218,4.552163375,-5.6001,-1.5719,4.0282,,,
conf007,6,-1359.235337153039,7.629594671973331,,,False,0.01693302557776127,,0.01693302557776127,,1.2147883897789353,1.4088871473508362,37.66461737785771,21.958212288043455,,0.1527777777777778,0.3243255457815921,-0.7009720276583455,0.09224578222913951,,,0.0,0.1111111111111111,0.19444444444444445,0.188627,0.099753,-0.16602,,,,,2.1046,1.0248,2.530744146,-5.4982,-1.5027,3.9955,,,
conf006,5,-1359.235317767659,7.680490980248881,,,False,0.016588912520491158,,0.016588912520491158,,1.2147788078645996,1.4088910288045942,37.51751749732111,22.073570049447156,,0.1527777777777778,0.3249708888642051,-0.7007632703393675,0.09224846512276193,,,0.0,0.1111111111111111,0.19444444444444445,0.188617,0.09973,-0.165963,,,,,2.105,1.0245,2.525766627,-5.4989,-1.5045,3.9943999999999997,,,
conf005,4,-1359.235277453023,7.786337042409537,,,False,0.015895510824808334,,0.015895510824808334,,1.2147652630313512,1.4089223420080625,37.68221549710256,22.266221867141248,,0.1527777777777778,0.32382892002702834,-0.7011478134436046,0.09219317268149992,,,0.0,0.19444444444444445,0.1111111111111111,0.1879,0.099744,-0.165917,,,,,2.1046,1.025,3.52442119,-5.5131,-1.5033,4.009799999999999,,,
conf009,8,-1359.233689689057,11.955010762648474,,,False,0.0029577022420244304,,0.0029577022420244304,,1.2145082911107554,1.4097594637851414,37.81313958397219,22.028342111270135,,0.1527777777777778,0.32225411884949895,-0.7011211430234734,0.09268535036528483,,,0.0,0.1111111111111111,0.19444444444444445,0.188717,0.100178,-0.164242,,,,,2.1068,1.0219,3.059769064,-5.5946,-1.5785,4.0161,,,
